id,category,context,mistake_text,correct_text
388,punctuation,job application,last week we was working on the website,Last week we were working on the website
389,tense,team meeting,this morning the pages is loading slowly,This morning the pages are loading slowly
390,word_usage,landing page,during the meeting please send me the file tommorow,During the meeting please send me the file tomorrow
391,subject_verb_agreement,company website,after the call i didnt receive your email,After the call i didn't receive your email
392,preposition,content update,before the deadline the client are happy with the result,Before the deadline the client is happy with the result
393,grammar,social media campaign,yesterday she have three years experience,Yesterday she has three years of experience
394,spelling,analytics report,today we need to improves the website,Today we need to improve the website
395,punctuation,business proposal,last week he did not went to the meeting,Last week he did not go to the meeting
396,tense,email campaign,this morning i am looking forward to meet you,This morning i am looking forward to meeting you
397,word_usage,product launch,during the meeting there is many errors in the report,During the meeting there are many errors in the report
398,subject_verb_agreement,website audit,after the call she is good in SEO,After the call she is good at SEO
399,preposition,keyword research,before the deadline please reply me as soon as possible,Before the deadline please reply to me as soon as possible
400,grammar,performance review,yesterday the website dont work on mobile,Yesterday the website doesn't work on mobile
401,spelling,website project,today i have finish the project,Today i have finished the project
402,punctuation,SEO campaign,last week they was waiting for the client,Last week they were waiting for the client
403,tense,client meeting,this morning he can speaks English well,This morning he can speak English well
404,word_usage,marketing report,during the meeting we discussed about the issue,During the meeting we discussed the issue
405,subject_verb_agreement,design task,after the call i need an information about the job,After the call i need information about the job
406,preposition,development project,before the deadline she bought a new laptop yesterday,Before the deadline she bought a new laptop yesterday
407,grammar,monthly report,yesterday the content have many mistakes,Yesterday the content has many mistakes
408,spelling,job application,today our manager give us new tasks,Today our manager gives us new tasks
409,punctuation,team meeting,last week i will sent the report tonight,Last week i will send the report tonight
410,tense,landing page,this morning he is working here since 2023,This morning he has been working here since 2023
411,word_usage,company website,during the meeting the mobile version did not looked good,During the meeting the mobile version did not look good
412,subject_verb_agreement,content update,after the call i forgeted to attach the document,After the call i forgot to attach the document
413,preposition,social media campaign,before the deadline this is more better than the old version,Before the deadline this is better than the old version
414,grammar,analytics report,yesterday she suggested me to apply,Yesterday she suggested that I apply
415,spelling,business proposal,today we need more informations,Today we need more information
416,punctuation,email campaign,last week each employees has an account,Last week each employee has an account
417,tense,product launch,this morning the team are ready for the meeting,This morning the team is ready for the meeting
418,word_usage,website audit,during the meeting i am agree with your idea,During the meeting i agree with your idea
419,subject_verb_agreement,keyword research,after the call he explained me the process,After the call he explained the process to me
420,preposition,performance review,before the deadline she is married with a doctor,Before the deadline she is married to a doctor
421,grammar,website project,yesterday i am interested on this position,Yesterday i am interested in this position
422,spelling,SEO campaign,today please check if there is any mistakes,Today please check if there are any mistakes
423,punctuation,client meeting,last week we will discussed it tomorrow,Last week we will discuss it tomorrow
424,tense,marketing report,this morning did you completed the work,This morning did you complete the work
425,word_usage,design task,during the meeting where you are going,During the meeting where are you going?
426,subject_verb_agreement,development project,after the call what time the meeting starts,After the call what time does the meeting start?
427,preposition,monthly report,before the deadline yesterday i visited the client,"Before the deadline yesterday, I visited the client."
428,grammar,job application,"yesterday the website was very slow, we fixed it","Yesterday the website was very slow, so we fixed it."
429,spelling,team meeting,today i have five year experience in web design,Today i have five years of experience in web design.
430,punctuation,landing page,last week she work from home every Friday,Last week she works from home every Friday.
431,tense,company website,this morning he dont knows the answer,This morning he doesn't know the answer.
432,word_usage,content update,during the meeting we has finished the work,During the meeting we have finished the work.
433,subject_verb_agreement,social media campaign,after the call i go to the office yesterday,After the call i went to the office yesterday
434,preposition,analytics report,before the deadline she dont like the new design,Before the deadline she doesn't like the new design
435,grammar,business proposal,yesterday he have completed the task,Yesterday he has completed the task
436,spelling,email campaign,today we was working on the website,Today we were working on the website
437,punctuation,product launch,last week the pages is loading slowly,Last week the pages are loading slowly
438,tense,website audit,this morning please send me the file tommorow,This morning please send me the file tomorrow
439,word_usage,keyword research,during the meeting i didnt receive your email,During the meeting i didn't receive your email
440,subject_verb_agreement,performance review,after the call the client are happy with the result,After the call the client is happy with the result
441,preposition,website project,before the deadline she have three years experience,Before the deadline she has three years of experience
442,grammar,SEO campaign,yesterday we need to improves the website,Yesterday we need to improve the website
443,spelling,client meeting,today he did not went to the meeting,Today he did not go to the meeting
444,punctuation,marketing report,last week i am looking forward to meet you,Last week i am looking forward to meeting you
445,tense,design task,this morning there is many errors in the report,This morning there are many errors in the report
446,word_usage,development project,during the meeting she is good in SEO,During the meeting she is good at SEO
447,subject_verb_agreement,monthly report,after the call please reply me as soon as possible,After the call please reply to me as soon as possible
448,preposition,job application,before the deadline the website dont work on mobile,Before the deadline the website doesn't work on mobile
449,grammar,team meeting,yesterday i have finish the project,Yesterday i have finished the project
450,spelling,landing page,today they was waiting for the client,Today they were waiting for the client
451,punctuation,company website,last week he can speaks English well,Last week he can speak English well
452,tense,content update,this morning we discussed about the issue,This morning we discussed the issue
453,word_usage,social media campaign,during the meeting i need an information about the job,During the meeting i need information about the job
454,subject_verb_agreement,analytics report,after the call she bought a new laptop yesterday,After the call she bought a new laptop yesterday
455,preposition,business proposal,before the deadline the content have many mistakes,Before the deadline the content has many mistakes
456,grammar,email campaign,yesterday our manager give us new tasks,Yesterday our manager gives us new tasks
457,spelling,product launch,today i will sent the report tonight,Today i will send the report tonight
458,punctuation,website audit,last week he is working here since 2023,Last week he has been working here since 2023
459,tense,keyword research,this morning the mobile version did not looked good,This morning the mobile version did not look good
460,word_usage,performance review,during the meeting i forgeted to attach the document,During the meeting i forgot to attach the document
461,subject_verb_agreement,website project,after the call this is more better than the old version,After the call this is better than the old version
462,preposition,SEO campaign,before the deadline she suggested me to apply,Before the deadline she suggested that I apply
463,grammar,client meeting,yesterday we need more informations,Yesterday we need more information
464,spelling,marketing report,today each employees has an account,Today each employee has an account
465,punctuation,design task,last week the team are ready for the meeting,Last week the team is ready for the meeting
466,tense,development project,this morning i am agree with your idea,This morning i agree with your idea
467,word_usage,monthly report,during the meeting he explained me the process,During the meeting he explained the process to me
468,subject_verb_agreement,job application,after the call she is married with a doctor,After the call she is married to a doctor
469,preposition,team meeting,before the deadline i am interested on this position,Before the deadline i am interested in this position
470,grammar,landing page,yesterday please check if there is any mistakes,Yesterday please check if there are any mistakes
471,spelling,company website,today we will discussed it tomorrow,Today we will discuss it tomorrow
472,punctuation,content update,last week did you completed the work,Last week did you complete the work
473,tense,social media campaign,this morning where you are going,This morning where are you going?
474,word_usage,analytics report,during the meeting what time the meeting starts,During the meeting what time does the meeting start?
475,subject_verb_agreement,business proposal,after the call yesterday i visited the client,"After the call yesterday, I visited the client."
476,preposition,email campaign,"before the deadline the website was very slow, we fixed it","Before the deadline the website was very slow, so we fixed it."
477,grammar,product launch,yesterday i have five year experience in web design,Yesterday i have five years of experience in web design.
478,spelling,website audit,today she work from home every Friday,Today she works from home every Friday.
479,punctuation,keyword research,last week he dont knows the answer,Last week he doesn't know the answer.
480,tense,performance review,this morning we has finished the work,This morning we have finished the work.
481,word_usage,website project,during the meeting i go to the office yesterday,During the meeting i went to the office yesterday
482,subject_verb_agreement,SEO campaign,after the call she dont like the new design,After the call she doesn't like the new design
483,preposition,client meeting,before the deadline he have completed the task,Before the deadline he has completed the task
484,grammar,marketing report,yesterday we was working on the website,Yesterday we were working on the website
485,spelling,design task,today the pages is loading slowly,Today the pages are loading slowly
486,punctuation,development project,last week please send me the file tommorow,Last week please send me the file tomorrow
487,tense,monthly report,this morning i didnt receive your email,This morning i didn't receive your email
488,word_usage,job application,during the meeting the client are happy with the result,During the meeting the client is happy with the result
489,subject_verb_agreement,team meeting,after the call she have three years experience,After the call she has three years of experience
490,preposition,landing page,before the deadline we need to improves the website,Before the deadline we need to improve the website
491,grammar,company website,yesterday he did not went to the meeting,Yesterday he did not go to the meeting
492,spelling,content update,today i am looking forward to meet you,Today i am looking forward to meeting you
493,punctuation,social media campaign,last week there is many errors in the report,Last week there are many errors in the report
494,tense,analytics report,this morning she is good in SEO,This morning she is good at SEO
495,word_usage,business proposal,during the meeting please reply me as soon as possible,During the meeting please reply to me as soon as possible
496,subject_verb_agreement,email campaign,after the call the website dont work on mobile,After the call the website doesn't work on mobile
497,preposition,product launch,before the deadline i have finish the project,Before the deadline i have finished the project
498,grammar,website audit,yesterday they was waiting for the client,Yesterday they were waiting for the client
499,spelling,keyword research,today he can speaks English well,Today he can speak English well
500,punctuation,performance review,last week we discussed about the issue,Last week we discussed the issue
501,tense,website project,this morning i need an information about the job,This morning i need information about the job
502,word_usage,SEO campaign,during the meeting she bought a new laptop yesterday,During the meeting she bought a new laptop yesterday
503,subject_verb_agreement,client meeting,after the call the content have many mistakes,After the call the content has many mistakes
504,preposition,marketing report,before the deadline our manager give us new tasks,Before the deadline our manager gives us new tasks
505,grammar,design task,yesterday i will sent the report tonight,Yesterday i will send the report tonight
506,spelling,development project,today he is working here since 2023,Today he has been working here since 2023
507,punctuation,monthly report,last week the mobile version did not looked good,Last week the mobile version did not look good
508,tense,job application,this morning i forgeted to attach the document,This morning i forgot to attach the document
509,word_usage,team meeting,during the meeting this is more better than the old version,During the meeting this is better than the old version
510,subject_verb_agreement,landing page,after the call she suggested me to apply,After the call she suggested that I apply
511,preposition,company website,before the deadline we need more informations,Before the deadline we need more information
512,grammar,content update,yesterday each employees has an account,Yesterday each employee has an account
513,spelling,social media campaign,today the team are ready for the meeting,Today the team is ready for the meeting
514,punctuation,analytics report,last week i am agree with your idea,Last week i agree with your idea
515,tense,business proposal,this morning he explained me the process,This morning he explained the process to me
516,word_usage,email campaign,during the meeting she is married with a doctor,During the meeting she is married to a doctor
517,subject_verb_agreement,product launch,after the call i am interested on this position,After the call i am interested in this position
518,preposition,website audit,before the deadline please check if there is any mistakes,Before the deadline please check if there are any mistakes
519,grammar,keyword research,yesterday we will discussed it tomorrow,Yesterday we will discuss it tomorrow
520,spelling,performance review,today did you completed the work,Today did you complete the work
521,punctuation,website project,last week where you are going,Last week where are you going?
522,tense,SEO campaign,this morning what time the meeting starts,This morning what time does the meeting start?
523,word_usage,client meeting,during the meeting yesterday i visited the client,"During the meeting yesterday, I visited the client."
524,subject_verb_agreement,marketing report,"after the call the website was very slow, we fixed it","After the call the website was very slow, so we fixed it."
525,preposition,design task,before the deadline i have five year experience in web design,Before the deadline i have five years of experience in web design.
526,grammar,development project,yesterday she work from home every Friday,Yesterday she works from home every Friday.
527,spelling,monthly report,today he dont knows the answer,Today he doesn't know the answer.
528,punctuation,job application,last week we has finished the work,Last week we have finished the work.
529,tense,team meeting,this morning i go to the office yesterday,This morning i went to the office yesterday
530,word_usage,landing page,during the meeting she dont like the new design,During the meeting she doesn't like the new design
531,subject_verb_agreement,company website,after the call he have completed the task,After the call he has completed the task
532,preposition,content update,before the deadline we was working on the website,Before the deadline we were working on the website
533,grammar,social media campaign,yesterday the pages is loading slowly,Yesterday the pages are loading slowly
534,spelling,analytics report,today please send me the file tommorow,Today please send me the file tomorrow
535,punctuation,business proposal,last week i didnt receive your email,Last week i didn't receive your email
536,tense,email campaign,this morning the client are happy with the result,This morning the client is happy with the result
537,word_usage,product launch,during the meeting she have three years experience,During the meeting she has three years of experience
538,subject_verb_agreement,website audit,after the call we need to improves the website,After the call we need to improve the website
539,preposition,keyword research,before the deadline he did not went to the meeting,Before the deadline he did not go to the meeting
540,grammar,performance review,yesterday i am looking forward to meet you,Yesterday i am looking forward to meeting you
541,spelling,website project,today there is many errors in the report,Today there are many errors in the report
542,punctuation,SEO campaign,last week she is good in SEO,Last week she is good at SEO
543,tense,client meeting,this morning please reply me as soon as possible,This morning please reply to me as soon as possible
544,word_usage,marketing report,during the meeting the website dont work on mobile,During the meeting the website doesn't work on mobile
545,subject_verb_agreement,design task,after the call i have finish the project,After the call i have finished the project
546,preposition,development project,before the deadline they was waiting for the client,Before the deadline they were waiting for the client
547,grammar,monthly report,yesterday he can speaks English well,Yesterday he can speak English well
548,spelling,job application,today we discussed about the issue,Today we discussed the issue
549,punctuation,team meeting,last week i need an information about the job,Last week i need information about the job
550,tense,landing page,this morning she bought a new laptop yesterday,This morning she bought a new laptop yesterday
551,word_usage,company website,during the meeting the content have many mistakes,During the meeting the content has many mistakes
552,subject_verb_agreement,content update,after the call our manager give us new tasks,After the call our manager gives us new tasks
553,preposition,social media campaign,before the deadline i will sent the report tonight,Before the deadline i will send the report tonight
554,grammar,analytics report,yesterday he is working here since 2023,Yesterday he has been working here since 2023
555,spelling,business proposal,today the mobile version did not looked good,Today the mobile version did not look good
556,punctuation,email campaign,last week i forgeted to attach the document,Last week i forgot to attach the document
557,tense,product launch,this morning this is more better than the old version,This morning this is better than the old version
558,word_usage,website audit,during the meeting she suggested me to apply,During the meeting she suggested that I apply
559,subject_verb_agreement,keyword research,after the call we need more informations,After the call we need more information
560,preposition,performance review,before the deadline each employees has an account,Before the deadline each employee has an account
561,grammar,website project,yesterday the team are ready for the meeting,Yesterday the team is ready for the meeting
562,spelling,SEO campaign,today i am agree with your idea,Today i agree with your idea
563,punctuation,client meeting,last week he explained me the process,Last week he explained the process to me
564,tense,marketing report,this morning she is married with a doctor,This morning she is married to a doctor
565,word_usage,design task,during the meeting i am interested on this position,During the meeting i am interested in this position
566,subject_verb_agreement,development project,after the call please check if there is any mistakes,After the call please check if there are any mistakes
567,preposition,monthly report,before the deadline we will discussed it tomorrow,Before the deadline we will discuss it tomorrow
568,grammar,job application,yesterday did you completed the work,Yesterday did you complete the work
569,spelling,team meeting,today where you are going,Today where are you going?
570,punctuation,landing page,last week what time the meeting starts,Last week what time does the meeting start?
571,tense,company website,this morning yesterday i visited the client,"This morning yesterday, I visited the client."
572,word_usage,content update,"during the meeting the website was very slow, we fixed it","During the meeting the website was very slow, so we fixed it."
573,subject_verb_agreement,social media campaign,after the call i have five year experience in web design,After the call i have five years of experience in web design.
574,preposition,analytics report,before the deadline she work from home every Friday,Before the deadline she works from home every Friday.
575,grammar,business proposal,yesterday he dont knows the answer,Yesterday he doesn't know the answer.
576,spelling,email campaign,today we has finished the work,Today we have finished the work.
577,punctuation,product launch,last week i go to the office yesterday,Last week i went to the office yesterday
578,tense,website audit,this morning she dont like the new design,This morning she doesn't like the new design
579,word_usage,keyword research,during the meeting he have completed the task,During the meeting he has completed the task
580,subject_verb_agreement,performance review,after the call we was working on the website,After the call we were working on the website
581,preposition,website project,before the deadline the pages is loading slowly,Before the deadline the pages are loading slowly
582,grammar,SEO campaign,yesterday please send me the file tommorow,Yesterday please send me the file tomorrow
583,spelling,client meeting,today i didnt receive your email,Today i didn't receive your email
584,punctuation,marketing report,last week the client are happy with the result,Last week the client is happy with the result
585,tense,design task,this morning she have three years experience,This morning she has three years of experience
586,word_usage,development project,during the meeting we need to improves the website,During the meeting we need to improve the website
587,subject_verb_agreement,monthly report,after the call he did not went to the meeting,After the call he did not go to the meeting
588,preposition,job application,before the deadline i am looking forward to meet you,Before the deadline i am looking forward to meeting you
589,grammar,team meeting,yesterday there is many errors in the report,Yesterday there are many errors in the report
590,spelling,landing page,today she is good in SEO,Today she is good at SEO
591,punctuation,company website,last week please reply me as soon as possible,Last week please reply to me as soon as possible
592,tense,content update,this morning the website dont work on mobile,This morning the website doesn't work on mobile
593,word_usage,social media campaign,during the meeting i have finish the project,During the meeting i have finished the project
594,subject_verb_agreement,analytics report,after the call they was waiting for the client,After the call they were waiting for the client
595,preposition,business proposal,before the deadline he can speaks English well,Before the deadline he can speak English well
596,grammar,email campaign,yesterday we discussed about the issue,Yesterday we discussed the issue
597,spelling,product launch,today i need an information about the job,Today i need information about the job
598,punctuation,website audit,last week she bought a new laptop yesterday,Last week she bought a new laptop yesterday
599,tense,keyword research,this morning the content have many mistakes,This morning the content has many mistakes
600,word_usage,performance review,during the meeting our manager give us new tasks,During the meeting our manager gives us new tasks
601,subject_verb_agreement,website project,after the call i will sent the report tonight,After the call i will send the report tonight
602,preposition,SEO campaign,before the deadline he is working here since 2023,Before the deadline he has been working here since 2023
603,grammar,client meeting,yesterday the mobile version did not looked good,Yesterday the mobile version did not look good
604,spelling,marketing report,today i forgeted to attach the document,Today i forgot to attach the document
605,punctuation,design task,last week this is more better than the old version,Last week this is better than the old version
606,tense,development project,this morning she suggested me to apply,This morning she suggested that I apply
607,word_usage,monthly report,during the meeting we need more informations,During the meeting we need more information
608,subject_verb_agreement,job application,after the call each employees has an account,After the call each employee has an account
609,preposition,team meeting,before the deadline the team are ready for the meeting,Before the deadline the team is ready for the meeting
610,grammar,landing page,yesterday i am agree with your idea,Yesterday i agree with your idea
611,spelling,company website,today he explained me the process,Today he explained the process to me
612,punctuation,content update,last week she is married with a doctor,Last week she is married to a doctor
613,tense,social media campaign,this morning i am interested on this position,This morning i am interested in this position
614,word_usage,analytics report,during the meeting please check if there is any mistakes,During the meeting please check if there are any mistakes
615,subject_verb_agreement,business proposal,after the call we will discussed it tomorrow,After the call we will discuss it tomorrow
616,preposition,email campaign,before the deadline did you completed the work,Before the deadline did you complete the work
617,grammar,product launch,yesterday where you are going,Yesterday where are you going?
618,spelling,website audit,today what time the meeting starts,Today what time does the meeting start?
619,punctuation,keyword research,last week yesterday i visited the client,"Last week yesterday, I visited the client."
620,tense,performance review,"this morning the website was very slow, we fixed it","This morning the website was very slow, so we fixed it."
621,word_usage,website project,during the meeting i have five year experience in web design,During the meeting i have five years of experience in web design.
622,subject_verb_agreement,SEO campaign,after the call she work from home every Friday,After the call she works from home every Friday.
623,preposition,client meeting,before the deadline he dont knows the answer,Before the deadline he doesn't know the answer.
624,grammar,marketing report,yesterday we has finished the work,Yesterday we have finished the work.
625,spelling,design task,today i go to the office yesterday,Today i went to the office yesterday
626,punctuation,development project,last week she dont like the new design,Last week she doesn't like the new design
627,tense,monthly report,this morning he have completed the task,This morning he has completed the task
628,word_usage,job application,during the meeting we was working on the website,During the meeting we were working on the website
629,subject_verb_agreement,team meeting,after the call the pages is loading slowly,After the call the pages are loading slowly
630,preposition,landing page,before the deadline please send me the file tommorow,Before the deadline please send me the file tomorrow
631,grammar,company website,yesterday i didnt receive your email,Yesterday i didn't receive your email
632,spelling,content update,today the client are happy with the result,Today the client is happy with the result
633,punctuation,social media campaign,last week she have three years experience,Last week she has three years of experience
634,tense,analytics report,this morning we need to improves the website,This morning we need to improve the website
635,word_usage,business proposal,during the meeting he did not went to the meeting,During the meeting he did not go to the meeting
636,subject_verb_agreement,email campaign,after the call i am looking forward to meet you,After the call i am looking forward to meeting you
637,preposition,product launch,before the deadline there is many errors in the report,Before the deadline there are many errors in the report
638,grammar,website audit,yesterday she is good in SEO,Yesterday she is good at SEO
639,spelling,keyword research,today please reply me as soon as possible,Today please reply to me as soon as possible
640,punctuation,performance review,last week the website dont work on mobile,Last week the website doesn't work on mobile
641,tense,website project,this morning i have finish the project,This morning i have finished the project
642,word_usage,SEO campaign,during the meeting they was waiting for the client,During the meeting they were waiting for the client
643,subject_verb_agreement,client meeting,after the call he can speaks English well,After the call he can speak English well
644,preposition,marketing report,before the deadline we discussed about the issue,Before the deadline we discussed the issue
645,grammar,design task,yesterday i need an information about the job,Yesterday i need information about the job
646,spelling,development project,today she bought a new laptop yesterday,Today she bought a new laptop yesterday
647,punctuation,monthly report,last week the content have many mistakes,Last week the content has many mistakes
648,tense,job application,this morning our manager give us new tasks,This morning our manager gives us new tasks
649,word_usage,team meeting,during the meeting i will sent the report tonight,During the meeting i will send the report tonight
650,subject_verb_agreement,landing page,after the call he is working here since 2023,After the call he has been working here since 2023
651,preposition,company website,before the deadline the mobile version did not looked good,Before the deadline the mobile version did not look good
652,grammar,content update,yesterday i forgeted to attach the document,Yesterday i forgot to attach the document
653,spelling,social media campaign,today this is more better than the old version,Today this is better than the old version
654,punctuation,analytics report,last week she suggested me to apply,Last week she suggested that I apply
655,tense,business proposal,this morning we need more informations,This morning we need more information
656,word_usage,email campaign,during the meeting each employees has an account,During the meeting each employee has an account
657,subject_verb_agreement,product launch,after the call the team are ready for the meeting,After the call the team is ready for the meeting
658,preposition,website audit,before the deadline i am agree with your idea,Before the deadline i agree with your idea
659,grammar,keyword research,yesterday he explained me the process,Yesterday he explained the process to me
660,spelling,performance review,today she is married with a doctor,Today she is married to a doctor
661,punctuation,website project,last week i am interested on this position,Last week i am interested in this position
662,tense,SEO campaign,this morning please check if there is any mistakes,This morning please check if there are any mistakes
663,word_usage,client meeting,during the meeting we will discussed it tomorrow,During the meeting we will discuss it tomorrow
664,subject_verb_agreement,marketing report,after the call did you completed the work,After the call did you complete the work
665,preposition,design task,before the deadline where you are going,Before the deadline where are you going?
666,grammar,development project,yesterday what time the meeting starts,Yesterday what time does the meeting start?
667,spelling,monthly report,today yesterday i visited the client,"Today yesterday, I visited the client."
668,punctuation,job application,"last week the website was very slow, we fixed it","Last week the website was very slow, so we fixed it."
669,tense,team meeting,this morning i have five year experience in web design,This morning i have five years of experience in web design.
670,word_usage,landing page,during the meeting she work from home every Friday,During the meeting she works from home every Friday.
671,subject_verb_agreement,company website,after the call he dont knows the answer,After the call he doesn't know the answer.
672,preposition,content update,before the deadline we has finished the work,Before the deadline we have finished the work.
673,grammar,social media campaign,yesterday i go to the office yesterday,Yesterday i went to the office yesterday
674,spelling,analytics report,today she dont like the new design,Today she doesn't like the new design
675,punctuation,business proposal,last week he have completed the task,Last week he has completed the task
676,tense,email campaign,this morning we was working on the website,This morning we were working on the website
677,word_usage,product launch,during the meeting the pages is loading slowly,During the meeting the pages are loading slowly
678,subject_verb_agreement,website audit,after the call please send me the file tommorow,After the call please send me the file tomorrow
679,preposition,keyword research,before the deadline i didnt receive your email,Before the deadline i didn't receive your email
680,grammar,performance review,yesterday the client are happy with the result,Yesterday the client is happy with the result
681,spelling,website project,today she have three years experience,Today she has three years of experience
682,punctuation,SEO campaign,last week we need to improves the website,Last week we need to improve the website
683,tense,client meeting,this morning he did not went to the meeting,This morning he did not go to the meeting
684,word_usage,marketing report,during the meeting i am looking forward to meet you,During the meeting i am looking forward to meeting you
685,subject_verb_agreement,design task,after the call there is many errors in the report,After the call there are many errors in the report
686,preposition,development project,before the deadline she is good in SEO,Before the deadline she is good at SEO
687,grammar,monthly report,yesterday please reply me as soon as possible,Yesterday please reply to me as soon as possible
688,spelling,job application,today the website dont work on mobile,Today the website doesn't work on mobile
689,punctuation,team meeting,last week i have finish the project,Last week i have finished the project
690,tense,landing page,this morning they was waiting for the client,This morning they were waiting for the client
691,word_usage,company website,during the meeting he can speaks English well,During the meeting he can speak English well
692,subject_verb_agreement,content update,after the call we discussed about the issue,After the call we discussed the issue
693,preposition,social media campaign,before the deadline i need an information about the job,Before the deadline i need information about the job
694,grammar,analytics report,yesterday she bought a new laptop yesterday,Yesterday she bought a new laptop yesterday
695,spelling,business proposal,today the content have many mistakes,Today the content has many mistakes
696,punctuation,email campaign,last week our manager give us new tasks,Last week our manager gives us new tasks
697,tense,product launch,this morning i will sent the report tonight,This morning i will send the report tonight
698,word_usage,website audit,during the meeting he is working here since 2023,During the meeting he has been working here since 2023
699,subject_verb_agreement,keyword research,after the call the mobile version did not looked good,After the call the mobile version did not look good
700,preposition,performance review,before the deadline i forgeted to attach the document,Before the deadline i forgot to attach the document
701,grammar,website project,yesterday this is more better than the old version,Yesterday this is better than the old version
702,spelling,SEO campaign,today she suggested me to apply,Today she suggested that I apply
703,punctuation,client meeting,last week we need more informations,Last week we need more information
704,tense,marketing report,this morning each employees has an account,This morning each employee has an account
705,word_usage,design task,during the meeting the team are ready for the meeting,During the meeting the team is ready for the meeting
706,subject_verb_agreement,development project,after the call i am agree with your idea,After the call i agree with your idea
707,preposition,monthly report,before the deadline he explained me the process,Before the deadline he explained the process to me
708,grammar,job application,yesterday she is married with a doctor,Yesterday she is married to a doctor
709,spelling,team meeting,today i am interested on this position,Today i am interested in this position
710,punctuation,landing page,last week please check if there is any mistakes,Last week please check if there are any mistakes
711,tense,company website,this morning we will discussed it tomorrow,This morning we will discuss it tomorrow
712,word_usage,content update,during the meeting did you completed the work,During the meeting did you complete the work
713,subject_verb_agreement,social media campaign,after the call where you are going,After the call where are you going?
714,preposition,analytics report,before the deadline what time the meeting starts,Before the deadline what time does the meeting start?
715,grammar,business proposal,yesterday yesterday i visited the client,"Yesterday yesterday, I visited the client."
716,spelling,email campaign,"today the website was very slow, we fixed it","Today the website was very slow, so we fixed it."
717,punctuation,product launch,last week i have five year experience in web design,Last week i have five years of experience in web design.
718,tense,website audit,this morning she work from home every Friday,This morning she works from home every Friday.
719,word_usage,keyword research,during the meeting he dont knows the answer,During the meeting he doesn't know the answer.
720,subject_verb_agreement,performance review,after the call we has finished the work,After the call we have finished the work.
721,preposition,website project,before the deadline i go to the office yesterday,Before the deadline i went to the office yesterday
722,grammar,SEO campaign,yesterday she dont like the new design,Yesterday she doesn't like the new design
723,spelling,client meeting,today he have completed the task,Today he has completed the task
724,punctuation,marketing report,last week we was working on the website,Last week we were working on the website
725,tense,design task,this morning the pages is loading slowly,This morning the pages are loading slowly
726,word_usage,development project,during the meeting please send me the file tommorow,During the meeting please send me the file tomorrow
727,subject_verb_agreement,monthly report,after the call i didnt receive your email,After the call i didn't receive your email
728,preposition,job application,before the deadline the client are happy with the result,Before the deadline the client is happy with the result
729,grammar,team meeting,yesterday she have three years experience,Yesterday she has three years of experience
730,spelling,landing page,today we need to improves the website,Today we need to improve the website
731,punctuation,company website,last week he did not went to the meeting,Last week he did not go to the meeting
732,tense,content update,this morning i am looking forward to meet you,This morning i am looking forward to meeting you
733,word_usage,social media campaign,during the meeting there is many errors in the report,During the meeting there are many errors in the report
734,subject_verb_agreement,analytics report,after the call she is good in SEO,After the call she is good at SEO
735,preposition,business proposal,before the deadline please reply me as soon as possible,Before the deadline please reply to me as soon as possible
736,grammar,email campaign,yesterday the website dont work on mobile,Yesterday the website doesn't work on mobile
737,spelling,product launch,today i have finish the project,Today i have finished the project
738,punctuation,website audit,last week they was waiting for the client,Last week they were waiting for the client
739,tense,keyword research,this morning he can speaks English well,This morning he can speak English well
740,word_usage,performance review,during the meeting we discussed about the issue,During the meeting we discussed the issue
741,subject_verb_agreement,website project,after the call i need an information about the job,After the call i need information about the job
742,preposition,SEO campaign,before the deadline she bought a new laptop yesterday,Before the deadline she bought a new laptop yesterday
743,grammar,client meeting,yesterday the content have many mistakes,Yesterday the content has many mistakes
744,spelling,marketing report,today our manager give us new tasks,Today our manager gives us new tasks
745,punctuation,design task,last week i will sent the report tonight,Last week i will send the report tonight
746,tense,development project,this morning he is working here since 2023,This morning he has been working here since 2023
747,word_usage,monthly report,during the meeting the mobile version did not looked good,During the meeting the mobile version did not look good
748,subject_verb_agreement,job application,after the call i forgeted to attach the document,After the call i forgot to attach the document
749,preposition,team meeting,before the deadline this is more better than the old version,Before the deadline this is better than the old version
750,grammar,landing page,yesterday she suggested me to apply,Yesterday she suggested that I apply
751,spelling,company website,today we need more informations,Today we need more information
752,punctuation,content update,last week each employees has an account,Last week each employee has an account
753,tense,social media campaign,this morning the team are ready for the meeting,This morning the team is ready for the meeting
754,word_usage,analytics report,during the meeting i am agree with your idea,During the meeting i agree with your idea
755,subject_verb_agreement,business proposal,after the call he explained me the process,After the call he explained the process to me
756,preposition,email campaign,before the deadline she is married with a doctor,Before the deadline she is married to a doctor
757,grammar,product launch,yesterday i am interested on this position,Yesterday i am interested in this position
758,spelling,website audit,today please check if there is any mistakes,Today please check if there are any mistakes
759,punctuation,keyword research,last week we will discussed it tomorrow,Last week we will discuss it tomorrow
760,tense,performance review,this morning did you completed the work,This morning did you complete the work
761,word_usage,website project,during the meeting where you are going,During the meeting where are you going?
762,subject_verb_agreement,SEO campaign,after the call what time the meeting starts,After the call what time does the meeting start?
763,preposition,client meeting,before the deadline yesterday i visited the client,"Before the deadline yesterday, I visited the client."
764,grammar,marketing report,"yesterday the website was very slow, we fixed it","Yesterday the website was very slow, so we fixed it."
765,spelling,design task,today i have five year experience in web design,Today i have five years of experience in web design.
